match_api_id,hp_rating_1,hp_rating_2,hp_rating_3,hp_rating_4,hp_rating_5,hp_rating_6,hp_rating_7,hp_rating_8,hp_rating_9,hp_rating_10,hp_rating_11,ap_rating_1,ap_rating_2,ap_rating_3,ap_rating_4,ap_rating_5,ap_rating_6,ap_rating_7,ap_rating_8,ap_rating_9,ap_rating_10,ap_rating_11,hp_total,ap_total
493017,58,57,67,53,60,63,60,66,50,65,58,62,70,59,55,54,72,67,65,70,68,63,657,705
493025,64,64,63,62,62,72,68,67,69,68,65,73,67,66,67,66,70,69,68,67,73,68,724,754
493027,67,72,69,69,72,75,74,70,74,64,69,61,66,61,60,49,64,67,66,55,58,64,775,671
493034,58,57,67,65,66,60,53,60,50,64,58,67,72,72,66,67,75,70,74,74,70,69,658,776
493040,61,66,61,61,60,64,67,66,64,58,55,64,62,57,57,51,58,66,57,60,63,65,683,660
493045,66,69,64,63,63,69,64,69,71,67,68,61,64,66,61,49,67,66,64,55,58,56,733,667
493048,64,62,57,57,51,66,57,60,56,63,65,58,65,57,67,50,66,60,53,60,64,58,658,658
493061,67,72,72,69,72,71,75,74,74,70,69,73,69,67,66,67,70,71,68,66,73,68,785,758
493062,64,59,57,57,51,66,57,60,56,63,65,62,69,70,55,54,63,67,63,68,72,63,655,706
493080,64,64,62,62,63,68,67,62,69,68,64,62,69,70,55,54,65,68,67,63,68,72,713,713
493082,64,59,57,57,51,58,66,57,60,65,66,66,67,63,65,63,69,64,69,71,66,68,660,731
493089,61,66,61,61,60,67,66,49,55,65,58,63,74,75,64,71,71,76,75,54,76,56,669,755
493092,66,69,67,63,65,69,64,69,71,61,68,64,64,62,62,63,66,68,67,62,67,64,732,709
493094,64,65,56,63,59,64,70,64,63,63,62,64,59,62,57,66,57,51,60,65,56,57,693,654
493097,63,75,64,65,71,71,76,75,54,76,74,73,70,64,66,66,70,71,68,66,68,65,764,747
493103,67,72,72,69,72,71,70,74,74,57,69,64,59,63,62,51,58,66,57,60,56,65,767,661
493105,50,64,62,62,63,68,67,62,69,68,65,64,65,59,64,64,56,63,63,62,63,70,700,693
493106,62,69,66,70,59,65,67,55,68,62,70,67,72,72,69,72,75,74,70,71,74,69,713,785
493107,66,67,63,65,63,69,64,69,71,66,68,63,75,64,65,59,71,65,76,75,76,74,731,763
665321,64,64,64,63,62,68,67,62,65,67,69,66,67,63,65,63,69,64,61,68,66,68,715,720
665322,68,66,66,66,59,65,68,58,63,68,51,61,61,61,60,49,65,66,67,66,56,55,698,667
665323,64,64,58,57,58,60,66,57,66,63,60,71,72,72,69,72,70,74,74,70,69,68,673,781
